"Reference(s)","Value","Qty","Part Number","Manufacturer","Description","Footprint","Datasheet"
"U12","MIC2288YD5","1","MIC2288YD5-TR","Microchip Technology","IC REG BOOST ADJ 1.2A TSOT23-5","JetkovKiCADLib:MIC2288YD5","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en580187",""
"Y1","32.7680 kHz","1","ECS-.327-9-12-C-TR","ECS Inc.","CRYSTAL 32.7680KHZ 9PF 10PPM SMD","JetkovKiCADLib:ECS-327-9-12-C-TR","https://www.ecsxtal.com/store/pdf/ECX_12.pdf",""

"C5, C13, C16","DNP","3","CL05A104KP5NNNC","Samsung Electro-Mechanics","CAP CER 0.1UF 10V X5R 0402","JetkovKiCADLib:C_0402_NoSilk","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/08/17/Data%20sheet_CL05A104KP5NNNC.pdf",""
"FID1, FID2, FID3, FID4, FID5, FID6","Fiducial","6","","","","Fiducials:Fiducial_1mm_Dia_2mm_Outer","~",""
"H1, H2","MountingHole","2","~","~","~","Mounting_Holes:MountingHole_2.2mm_M2","~",""
"LOGO1","CANARY-LOGO","1","","","","JetkovKiCADLib:CANARY-LOGO","",""
"R14, R17","DNP","2","~","~","~","JetkovKiCADLib:R_0402_NoSilk","~",""
"S1","DNP","1","SM-UART-04L","Amphenol Advanced Sensors","PM2.5 IR LASER DUST SENSOR","JetkovKiCADLib:SM-UART-04L","https://www.amphenol-sensors.com/en/component/edocman/514-telaire-sm-uart-04l-laser-dust-sensor-application-note/download?Itemid=8488%20%27",""
"U2","DNP","1","MX25V1006FM1I","Macronix","IC FLASH 1MBIT SPI/DUAL I/O 8SOP","JetkovKiCADLib:MX25V1006FM1I","http://www.macronix.com/Lists/Datasheet/Attachments/7430/MX25V1006F,%202.5V,%201Mb,%20v1.0.pdf",""

"Source:","C:\Users\Alex\Documents\KiCAD\Canary\Canary.sch"
"Date:","2021-04-09 19:23:43"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Users\Alex\Documents\KiCAD\JetkovKiCADLib\Scripts/jetkov_bom_csv.py"
"Component Count:","97"

